Date;Price;Open;High;Low;Vol.;Change %
sep-18;978.86;1,021.45;1,023.17;970.84;305.24M;-4.21%
aug-18;1,021.83;1,016.97;1,032.99;984.41;259.69M;0.50%
jul-18;1,016.77;961.20;1,034.70;952.87;213.90M;5.72%
jun-18;961.77;978.20;1,000.02;946.48;252.53M;-1.67%
maj-18;978.09;971.22;1,023.79;962.87;298.64M;0.71%
apr-18;971.17;976.73;984.35;955.65;276.78M;-0.55%
mar-18;976.57;1,011.16;1,011.16;959.22;321.61M;-3.48%
feb-18;1,011.81;1,018.26;1,030.55;932.29;536.35M;-0.59%
jan-18;1,017.79;1,024.29;1,056.09;1,017.68;328.47M;-0.63%
dec-17;1,024.22;1,005.61;1,033.90;985.60;260.21M;1.84%
nov-17;1,005.76;1,050.46;1,061.81;980.97;371.99M;-4.26%
okt-17;1,050.46;1,024.14;1,055.35;1,023.25;325.04M;2.57%
sep-17;1,024.14;1,021.59;1,033.76;1,005.04;267.50M;0.25%
aug-17;1,021.59;997.52;1,022.58;985.00;328.28M;2.41%
jul-17;997.52;988.14;1,014.75;981.31;247.24M;0.95%
jun-17;988.14;995.63;1,022.22;974.03;321.32M;-0.75%
maj-17;995.63;968.44;997.68;963.70;353.65M;2.79%
apr-17;968.57;915.51;969.53;908.26;256.10M;5.80%
mar-17;915.51;911.73;921.50;887.30;333.38M;0.44%
feb-17;911.54;902.10;925.35;886.08;367.00M;1.05%
jan-17;902.06;883.63;907.89;877.69;315.04M;2.05%
dec-16;883.96;836.09;885.93;823.42;297.78M;5.73%
nov-16;836.06;867.41;872.62;805.08;395.73M;-3.50%
okt-16;866.41;897.55;931.95;842.47;303.01M;-3.42%
sep-16;897.08;941.25;948.81;886.31;300.99M;-4.68%
aug-16;941.12;995.73;1,006.31;914.24;331.86M;-5.37%
jul-16;994.55;958.40;1,003.73;931.64;250.96M;3.86%
jun-16;957.58;1,000.95;1,006.33;876.06;348.28M;-4.23%
maj-16;999.86;957.24;1,004.31;934.26;274.30M;4.45%
apr-16;957.24;947.64;980.80;938.07;295.78M;0.95%
mar-16;948.21;947.68;998.76;926.38;286.43M;0.06%
feb-16;947.68;972.98;987.52;821.27;405.19M;-2.57%
jan-16;972.66;1,007.17;1,019.09;900.29;366.89M;-4.09%
dec-15;1,014.17;1,016.26;1,033.82;958.43;270.57M;-0.09%
nov-15;1,015.05;938.73;1,016.09;937.11;342.29M;8.22%
okt-15;937.94;937.26;970.88;906.97;402.90M;1.69%
sep-15;922.31;938.26;970.69;906.07;342.10M;-2.32%
aug-15;944.21;1,018.02;1,044.92;870.44;369.40M;-6.57%
jul-15;1,010.58;954.31;1,041.36;931.39;308.42M;6.96%
jun-15;944.82;985.43;994.52;919.20;310.81M;-3.77%
maj-15;981.80;981.64;1,000.66;934.11;281.99M;1.87%
apr-15;963.77;954.05;1,009.94;941.59;413.37M;0.99%
mar-15;954.34;884.79;966.80;866.15;388.49M;8.02%
feb-15;883.51;815.92;883.64;784.32;360.87M;8.95%
jan-15;810.94;750.64;824.93;737.20;346.97M;8.93%
dec-14;744.44;758.97;778.02;708.51;308.00M;-2.14%
nov-14;760.72;755.67;765.09;727.19;287.33M;0.83%
okt-14;754.43;761.65;769.59;664.69;413.06M;-1.08%
sep-14;762.65;739.62;775.56;734.01;339.97M;3.46%
aug-14;737.12;734.03;744.30;692.41;280.64M;-0.01%
jul-14;737.23;741.60;752.00;721.16;247.44M;-0.48%
jun-14;740.82;724.01;748.53;720.17;244.86M;2.81%
maj-14;720.60;696.41;724.44;692.17;301.08M;2.35%
apr-14;704.05;701.10;708.75;661.20;278.94M;0.23%
mar-14;702.40;708.43;723.88;674.20;360.98M;-2.38%
feb-14;719.51;652.15;729.82;636.54;381.57M;11.17%
jan-14;647.19;618.24;656.56;615.99;368.58M;5.15%
dec-13;615.50;602.16;616.37;582.90;188.39M;2.31%
nov-13;601.63;580.83;601.99;574.65;183.10M;4.03%
okt-13;578.31;565.15;596.79;558.32;0.02K;2.20%
sep-13;565.85;554.67;578.27;549.89;0.02K;2.55%
aug-13;551.76;549.96;571.45;549.14;0.02K;0.88%
jul-13;546.92;514.53;549.76;512.59;0.02K;6.81%
jun-13;512.03;534.66;538.57;492.99;0.02K;-4.36%
maj-13;535.37;541.00;559.07;532.28;0.02K;-0.73%
apr-13;539.28;536.26;547.17;522.63;0.02K;0.90%
mar-13;534.47;547.19;564.61;530.12;0.02K;-2.21%
feb-13;546.55;536.67;562.26;511.09;0.02K;2.02%
jan-13;535.73;500.69;546.31;500.69;0.02K;7.98%
dec-12;496.16;490.22;503.28;490.21;0.02K;1.07%
nov-12;490.93;485.78;496.58;471.18;0.02K;1.16%
okt-12;485.28;491.12;506.51;484.46;0.02K;-1.61%
sep-12;493.22;491.91;501.95;482.76;0.02K;0.62%
aug-12;490.16;484.33;501.67;477.76;0.02K;1.24%
jul-12;484.14;447.44;487.39;445.87;0.02K;8.54%
jun-12;446.04;435.47;446.24;415.15;0.02K;3.19%
maj-12;432.26;459.75;465.87;430.68;0.02K;-5.77%
apr-12;458.75;447.56;471.50;445.03;0.02K;3.16%
mar-12;444.71;452.46;463.36;438.70;0.02K;-2.00%
feb-12;453.77;410.71;458.62;410.54;0.02K;11.07%
jan-12;408.53;391.10;412.28;391.05;0.02K;4.76%
dec-11;389.95;384.06;390.36;370.61;0.02K;1.24%
nov-11;385.19;353.63;385.19;344.65;0.02K;6.18%
okt-11;362.77;346.36;379.20;336.76;0.02K;3.55%
sep-11;350.34;360.83;365.97;328.94;0.02K;-2.52%
aug-11;359.41;427.70;428.73;331.42;0.02K;-14.54%
jul-11;420.54;434.70;441.80;417.72;0.02K;-2.44%
jun-11;431.06;456.51;457.06;413.46;0.02K;-5.52%
maj-11;456.25;464.21;468.01;449.73;0.02K;-1.42%
apr-11;462.81;469.09;473.49;455.81;0.02K;-0.93%
mar-11;467.15;474.58;478.38;442.99;0.02K;-1.37%
feb-11;473.64;463.58;474.74;459.37;0.02K;2.50%
jan-11;462.11;460.54;476.35;457.22;0.02K;0.99%
dec-10;457.58;424.78;462.38;424.58;0.02K;7.72%
nov-10;424.77;423.57;436.06;422.55;0.02K;0.13%
okt-10;424.20;416.70;430.09;406.96;0.02K;1.74%
sep-10;416.96;398.47;422.25;395.34;0.02K;5.19%
aug-10;396.38;413.73;429.09;382.36;0.02K;-3.52%
jul-10;410.83;388.30;417.94;383.32;0.02K;4.53%
jun-10;393.02;388.55;423.95;381.05;-;1.11%
maj-10;388.69;410.89;418.06;362.49;-;-5.54%
apr-10;411.50;388.69;417.42;388.69;-;7.43%
mar-10;383.04;358.18;390.30;357.27;-;7.97%
feb-10;354.77;354.46;363.84;342.71;-;-0.02%
jan-10;354.85;336.75;363.84;336.75;-;5.39%
dec-09;336.69;327.30;339.72;327.30;-;2.90%
nov-09;327.20;324.06;340.65;319.33;-;0.94%
okt-09;324.16;335.23;345.02;320.22;-;-3.24%
sep-09;335.03;335.12;341.34;319.97;-;0.00%
aug-09;335.03;311.13;342.37;309.65;-;7.65%
jul-09;311.23;290.80;312.04;276.18;-;7.06%
jun-09;290.70;291.52;307.19;279.29;-;-0.04%
maj-09;290.83;274.40;308.71;272.69;-;5.84%
apr-09;274.79;228.36;278.07;227.25;-;20.33%
mar-09;228.36;240.69;240.69;210.32;-;-5.43%
feb-09;241.48;261.50;272.66;238.23;-;-7.76%
jan-09;261.79;247.72;281.36;245.57;-;5.68%
dec-08;247.72;263.05;265.97;244.01;-;-5.83%
nov-08;263.05;285.19;316.25;231.31;-;-7.76%
okt-08;285.19;351.15;362.30;240.16;-;-18.78%
sep-08;351.15;424.11;427.79;341.52;-;-17.20%
aug-08;424.11;417.43;429.33;403.57;-;1.60%
jul-08;417.43;424.01;425.26;383.61;-;-1.62%
jun-08;424.30;460.29;460.61;421.00;-;-7.82%
maj-08;460.29;427.00;469.88;427.00;-;7.80%
apr-08;427.00;428.10;439.04;414.57;-;-0.26%
mar-08;428.10;431.24;432.30;398.94;-;-0.73%
feb-08;431.24;407.83;444.62;403.95;-;5.74%
jan-08;407.83;464.14;467.78;363.19;-;-12.13%
dec-07;464.14;471.76;482.79;452.26;-;-1.62%
nov-07;471.76;507.92;509.97;440.10;-;-7.12%
okt-07;507.92;499.93;519.26;485.04;-;1.60%
sep-07;499.93;496.30;504.70;472.47;-;0.73%
aug-07;496.30;498.53;504.31;381.66;-;-0.67%
jul-07;499.66;483.49;515.66;481.94;-;3.30%
jun-07;483.69;500.57;502.26;467.50;-;-3.37%
maj-07;500.57;484.88;502.23;480.63;-;3.11%
apr-07;485.46;466.71;491.36;463.96;-;4.04%
mar-07;466.59;455.68;469.47;439.53;-;2.45%
feb-07;455.44;463.08;488.27;445.41;-;-1.60%
jan-07;462.84;441.48;463.22;439.60;-;4.84%
dec-06;441.48;424.33;442.67;421.01;-;4.04%
nov-06;424.33;418.92;432.35;415.75;-;1.29%
okt-06;418.92;403.49;427.00;402.68;-;3.85%
sep-06;403.39;390.57;405.12;387.70;-;3.28%
aug-06;390.57;369.29;392.93;369.20;-;5.76%
jul-06;369.29;371.01;374.50;357.98;-;-0.46%
jun-06;371.01;372.89;379.44;348.04;-;-0.50%
maj-06;372.89;396.71;418.87;368.27;-;-6.00%
apr-06;396.71;395.12;407.22;392.90;-;0.40%
mar-06;395.12;390.64;410.07;331.04;-;1.15%
feb-06;390.64;389.06;401.37;383.57;-;0.41%
jan-06;389.06;393.52;403.01;378.30;-;-1.13%
dec-05;393.52;368.37;395.25;368.37;-;6.83%
nov-05;368.37;356.82;376.15;356.82;-;3.24%
okt-05;356.82;370.60;372.53;341.21;-;-3.72%
sep-05;370.60;365.65;378.50;365.65;-;1.35%
aug-05;365.65;352.31;377.53;352.31;-;3.79%
jul-05;352.31;343.97;353.39;337.87;-;2.42%
jun-05;343.97;327.18;349.84;326.86;-;5.13%
maj-05;327.18;306.25;327.98;306.25;-;6.83%
apr-05;306.25;316.66;331.30;304.49;-;-3.29%
mar-05;316.66;311.96;324.58;310.79;-;1.51%
feb-05;311.96;291.02;313.04;290.17;-;7.20%
jan-05;291.02;286.66;291.87;283.41;-;1.52%
dec-04;286.66;282.88;287.48;277.30;-;1.34%
